w,l,nf,flavor,vg,mean_rel_error,vth_error
8e-07,1e-06,2,9,0.9,1.999906480630766,0.2654365825594729
1.6e-06,1e-06,1,8,0.9,1.9999057494829677,0.2651626533021928
1e-07,5e-07,8,9,0.9,1.9999056743045251,0.2603081392380185
2e-07,5e-07,4,5,0.0,1.9999049700621736,0.0219753844377214
8e-07,5e-07,1,8,0.9,1.9999040316651737,0.2677812229554634
4e-07,5e-07,2,5,0.0,1.9999038730959584,0.02162165849289388
4e-07,1e-06,2,5,0.0,1.999903473702922,0.041156766608288375
1.6e-06,1e-06,1,9,0.9,1.9999023800573803,0.2646891728310927
8e-07,1e-06,1,2,0.0,1.9999023080674145,0.018780166251493924
1e-07,1e-06,4,4,0.0,1.9999012203600017,-0.03521050875022935
4e-07,5e-07,2,9,0.9,1.9999009771848066,0.27759959185444516
2e-07,5e-07,4,2,0.0,1.9999007498504007,0.044868691193183374
1e-07,5e-07,2,4,0.0,1.999899462439022,-0.14755981448001732
4e-07,1e-06,4,9,0.9,1.9998993582678417,0.2683099506305424
8e-07,5e-07,1,5,0.0,1.999898596994159,0.0340490879104518
2e-07,1e-06,8,9,0.9,1.9998980947342495,0.2671741101181493
2e-07,2e-07,1,9,0.9,1.9998977311025414,0.25633815783703395
2e-07,5e-07,4,1,0.0,1.9998973889020415,-0.009135876188970271
1.6e-06,5e-07,1,6,0.9,1.9998966916773935,0.23160870823210325
8e-07,5e-07,1,9,0.9,1.9998960544192053,0.2833337871251773
4e-07,1e-06,8,7,0.9,1.9998947938266027,0.3082677665853464
2e-07,5e-07,4,9,0.9,1.9998946886825635,0.26970651158599634
2.65e-06,1e-06,1,7,0.9,1.9998926346853811,0.30277041979078134
2e-07,5e-07,8,7,0.9,1.999892083455959,0.30610068169399607
4e-07,2e-07,1,6,0.9,1.9998904248051637,0.22593490925719975
8e-07,1e-06,4,7,0.9,1.9998899344194192,0.32313044300590993
8e-07,2e-07,1,2,0.0,1.9998864993804866,-0.0005092399091874977
8e-07,1e-06,1,5,0.0,1.9998840725155063,0.02207986707300691
2e-07,5e-07,8,8,0.9,1.9998835649633446,0.3149682259969548
1.6e-06,1e-06,2,7,0.9,1.9998815331017816,0.32495630177416135
1e-07,5e-07,4,1,0.0,1.9998812796578496,0.17404377512989666
4e-07,5e-07,4,7,0.9,1.9998809390769943,0.31895087483733203
4e-07,1e-06,2,4,0.0,1.9998806786499883,-0.0013951779515597451
4e-07,1e-06,8,8,0.9,1.999880110130944,0.3170366953698475
2.65e-06,1e-06,1,9,0.9,1.9998794430164601,0.3041343774676707
1.6e-06,5e-07,1,7,0.9,1.9998791059253829,0.33892417522213436
1e-07,1e-06,8,2,0.0,1.9998784250229733,0.017480036947298716
8e-07,5e-07,2,7,0.9,1.9998759555541734,0.3338927993847122
8e-07,1e-06,1,4,0.0,1.9998756388729686,0.010067236356001374
4e-07,1e-06,4,1,0.0,1.9998745859515228,0.4490332021831495
4e-07,2e-07,1,7,0.9,1.9998742264730365,0.25718085192140694
2e-07,5e-07,2,4,0.0,1.9998726541247769,-0.05226093582998903
1e-07,5e-07,8,5,0.0,1.9998726362458192,0.002715729533686373
2.65e-06,1e-06,1,8,0.9,1.999871056546398,0.3163415885838895
2e-07,1e-06,4,4,0.0,1.999870361807993,-0.009727825396505962
2e-07,2e-07,1,1,0.0,1.9998693071148803,0.01124990314436114
4e-07,2e-07,1,1,0.0,1.9998680634958546,-0.13741132864723993
8e-07,1e-06,4,8,0.9,1.9998679210321744,0.3280249042720173
8e-07,1e-06,8,6,0.9,1.9998672094356604,0.4753656732288635
8e-07,1e-06,4,9,0.9,1.9998665536624702,0.3368271379175042
8e-07,2e-07,1,5,0.0,1.9998661654740038,0.022973054572490437
1e-07,1e-06,8,1,0.0,1.9998661608240345,0.2682543007650079
2.65e-06,1e-06,2,6,0.9,1.9998654374008826,0.2931233144498955
4e-07,5e-07,4,8,0.9,1.9998643136239103,0.32675803665438885
4e-07,2e-07,1,8,0.9,1.999861568405884,0.30095299511453577
1e-07,5e-07,1,0,0.0,1.9998591641621881,0.6594079998345579
1.6e-06,1e-06,4,6,0.9,1.9998568497281792,0.3222319073797323
4e-07,1e-06,8,9,0.9,1.9998564400287804,0.3426291739756245
1.6e-06,1e-06,2,9,0.9,1.9998558394495087,0.3346382903709597
1.6e-06,1e-06,2,8,0.9,1.9998557526363445,0.3407391810211724
1e-07,1e-06,1,0,0.0,1.9998555749150548,0.6640124288520536
8e-07,5e-07,1,4,0.0,1.9998521128238074,0.009905589485910915
8e-07,5e-07,2,8,0.9,1.9998515549452107,0.34293916133182784
4e-07,5e-07,8,6,0.9,1.9998505889942262,0.3607573106986438
4e-07,5e-07,4,1,0.0,1.999847054836324,0.06103809830056062
4e-07,5e-07,4,2,0.0,1.9998445972107106,0.05007637233177997
1e-07,5e-07,8,2,0.0,1.999840085625852,0.037998064257317
2e-07,5e-07,8,9,0.9,1.9998395911432745,0.3402626306211202
8e-07,5e-07,2,2,0.0,1.9998388253912576,0.014609598197739437
8e-07,5e-07,4,6,0.9,1.999838692368486,0.3735338790834615
1.6e-06,5e-07,1,8,0.9,1.9998381960006948,0.3521892986192638
4e-07,1e-06,4,2,0.0,1.9998357157013849,0.006338322926178308
8e-07,5e-07,2,9,0.9,1.999835705090269,0.36469978953890275
2e-07,1e-06,8,1,0.0,1.9998353320615614,-0.03993936734511949
4e-07,5e-07,2,4,0.0,1.9998346663028417,-0.016995412318099645
4e-07,5e-07,4,9,0.9,1.9998335072140194,0.35445600344813843
2e-07,1e-06,8,2,0.0,1.999831423764558,0.015682031169020227
8e-07,1e-06,2,1,0.0,1.999830102673215,0.07155837915420449
2.65e-06,1e-06,2,7,0.9,1.999829773680012,0.42556354529625384
8e-07,1e-06,8,7,0.9,1.9998295397512493,0.45354314125195005
2e-07,5e-07,8,5,0.0,1.999828981062653,0.040671249692013633
3e-06,5e-07,1,6,0.9,1.9998283159010022,0.5442566928622462
2e-07,1e-06,8,5,0.0,1.9998277152643353,0.024495077440212953
