w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
1.6e-06,3e-08,2,1,0.0,1.9999982647234122,0.4836149846885016,0.0327339922238126,5.530242000000001e-07,1.0826030000000009e-07,
1.6e-06,4e-08,2,1,0.0,1.9999982647234122,0.4836149846885016,0.0327339922238126,5.530242000000001e-07,1.0826030000000009e-07,
4e-07,9e-08,4,5,0.0,1.9999982543566985,-0.07302650515332021,0.5771116210780028,2.2474290000000002e-07,1.0947180000000008e-07,5.943443333333335e-07
8e-07,9e-08,4,1,0.0,1.9999981839526901,0.4532483707265437,0.059409732236264716,4.729116e-07,1.0796080000000009e-07,1.0043006666666665e-06
2e-07,3e-08,4,0,0.0,1.999997955949564,0.014580062205060806,0.4854199377949392,1.783987e-07,1.025646e-07,
2e-07,4e-08,4,0,0.0,1.999997955949564,0.014580062205060806,0.4854199377949392,1.783987e-07,1.025646e-07,
2e-07,9e-08,8,4,0.0,1.9999978717434914,0.2905055991124638,0.21337079205435844,3.163973e-07,1.1226090000000001e-07,5.837360000000003e-07
1.6e-06,6e-08,2,1,0.0,1.999997763583004,0.4729507793553129,0.04039447024653057,5.310098000000001e-07,1.085239e-07,1.028185e-06
2e-07,6e-08,4,0,0.0,1.9999977612188298,-0.0987949442013506,0.5855589371576497,1.4671469999999997e-07,1.0271930000000001e-07,3.855053333333332e-07
8e-07,3e-08,2,2,0.0,1.9999977522577428,0.4008339697887359,0.09322965414007933,3.7706710000000004e-07,1.1107850000000002e-07,
8e-07,4e-08,2,2,0.0,1.9999977522577428,0.4008339697887359,0.09322965414007933,3.7706710000000004e-07,1.1107850000000002e-07,
3e-06,4e-08,1,1,0.0,1.9999977032845564,0.48092053092258297,0.03351233592770036,5.287625e-07,1.0848280000000009e-07,
3e-06,3e-08,1,1,0.0,1.9999977032845564,0.48092053092258297,0.03351233592770036,5.287625e-07,1.0848280000000009e-07,
8e-07,4e-08,2,5,0.0,1.999997687907914,0.3055820161904036,0.18848160773841166,3.390556e-07,1.0949660000000005e-07,
8e-07,3e-08,2,5,0.0,1.999997687907914,0.3055820161904036,0.18848160773841166,3.390556e-07,1.0949660000000005e-07,
8e-07,6e-08,2,2,0.0,1.9999975901958449,0.49050060920030847,0.003101812453070507,3.360838e-07,1.117342e-07,7.271143333333334e-07
